Filename, Has_Form, Links_To
staff_position.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_position.php
staff_setting.php, YES, footer.php|header.php|sidebar.php|staff_setting_sidebar.php
stream_module.php, NO, 
stream.php, YES, add_stream.php|delete_stream.php|edit_stream.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
student_detail_2.php, YES, ajax_stream_code.php|delete_admission.php|edit_admission.php|footer.php|header.php|sidebar.php|student_detail_pagination.php|student_search_result.php|view_student_detail.php
student_detail_pagination.php, NO, inc.php
student_detail.php, YES, ajax_stream_code.php|delete_admission.php|edit_admission.php|footer.php|header.php|sidebar.php|student_detail_pagination.php|student_search_result.php|view_student_detail.php
student_fees_reports_pagination.php, NO, inc.php
student_fees_reports.php, YES, ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_fees_reports_pagination.php
student_fine_detail1.php, YES, fees_manager_pagination.php|footer.php|header.php|library_delete_student_fine_detail1.php|library_edit_student_fine_detail1.php|library_setting_sidebar.php|sidebar.php
student_fine_detail.php, YES, entry_student_fine_detail.php|fees_manager_pagination.php|footer.php|header.php|library_delete_student_fine_detail.php|library_edit_student_fine_detail.php|library_setting_sidebar.php|sidebar.php
student_fine_detail_seach_by_name.php, YES, ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_fine_detail1.php
student_pending_fees_detail.php, YES, ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_pending_fees_detail.php|student_pending_fees_pagination.php
student_pending_fees_pagination.php, NO, inc.php
student_search_result.php, YES, ajax_stream_code.php|delete_admission.php|edit_admission.php|footer.php|header.php|sidebar.php|student_search_result.php|view_student_detail.php
student_tc_backup.php, NO, entry_student_tc.php|inc.php
student_tc.php, YES, entry_student_tc.php|inc.php|student_tc_show.php
student_tc_search_by_name.php, YES, ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_fine_detail1.php|student_tc.php
student_tc_show.php, NO, entry_student_tc.php|inc.php
student_transport_fees.php, YES, ajax_stream_code.php|delete_student_transport_fees.php|edit_student_transport_fees.php|entry_student_transport_fees.php|entry_transport_fees_reciept.php|fees_manager_pagination.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|transport_fees_reciept.php|transport_fees_result.php
student_transport_fees_reports.php, YES, ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_fees_reports_pagination.php
student_transport_pending_fees_detail.php, YES, ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_transport_pending_fees_detail.php|student_transport_pending_fees_pagination.php
student_transport_pending_fees_pagination.php, NO, inc.php
sub_category.php, YES, footer.php|header.php|sidebar.php
subject_module.php, NO, 
subject.php, YES, add_subject.php|delete_subject.php|edit_subject.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
term_manager.php, YES, add_term.php|delete_term.php|edit_term.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php
transport_add_route.php, YES, footer.php|header.php|sidebar.php|transport_add_route.php|transport_setting_sidebar.php
transport_add_student.php, YES, ajax_exam_date.php|ajax_stream_code2.php|checkregno.php|entry_transport_add_student.php|footer.php|header.php|sidebar.php|transport_add_student.php|transport_setting_sidebar.php|vehicle_ajax.php
transport_add_vechile.php, YES, footer.php|header.php|sidebar.php|transport_add_vechile.php|transport_setting_sidebar.php
transport_edit_student.php, YES, ajax_exam_date.php|ajax_stream_code2.php|footer.php|header.php|sidebar.php|transport_edit_student.php|transport_entry_add_student.php|transport_setting_sidebar.php|transport_student_detail.php|vehicle_ajax.php
transport_edit_vehicle.php, YES, footer.php|header.php|sidebar.php|transport_edit_vehicle.php|transport_setting_sidebar.php|transport_vechile_detail.php
transport_entry_add_student.php, YES, ajax_exam_date.php|ajax_stream_code1.php|exam_add_maximum_marks.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php|transport_add_student.php|transport_setting_sidebar.php|transport_student_detail.php
transport_fees_reciept_byterm.php, NO, inc.php|student_transport_fees.php|transport_fees_reciept.php
transport_fees_reciept.php, NO, inc.php|student_transport_fees.php|transport_fees_reciept_byterm.php
transport_fees_reciept_searchby_name.php, YES, ajax_stream_code.php|entry_transport_fees_reciept1.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php
transport_fees_result.php, YES, ajax_stream_code.php|delete_fees_package.php|edit_fees_package.php|entry_student_transport_fees.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|transport_student_result.php
transport_fees_searchby_name.php, YES, add_student_transport_fees.php|ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|transport_fees_searchby_name.php
transport.php, YES, footer.php|header.php|sidebar.php
transport_route_detail.php, YES, footer.php|header.php|sidebar.php|transport_add_route.php|transport_route_detail.php|transport_route_edit.php|transport_setting_sidebar.php
transport_route_edit.php, YES, footer.php|header.php|sidebar.php|transport_route_detail.php|transport_route_edit.php|transport_setting_sidebar.php
transport_searchby_name.php, YES, ajax_stream_code.php|footer.php|header.php|sidebar.php|transport_add_student.php|transport_setting_sidebar.php
transport_setting.php, YES, footer.php|header.php|sidebar.php|transport_setting_sidebar.php
transport_student_detail.php, YES, ajax_stream_code.php|entry_transport_add_student.php|footer.php|header.php|sidebar.php|transport_edit_student.php|transport_setting_sidebar.php|transport_student_detail.php|transport_student_result.php
transport_student_fee_detail.php, YES, footer.php|header.php|sidebar.php
transport_student_result.php, YES, ajax_stream_code.php|footer.php|header.php|sidebar.php|transport_edit_student.php|transport_entry_add_student.php|transport_setting_sidebar.php|transport_student_detail.php|transport_student_result.php
transport_vechile_detail.php, YES, footer.php|header.php|sidebar.php|transport_add_vechile.php|transport_edit_vehicle.php|transport_setting_sidebar.php|transport_vehicle_detail.php
vehicle_ajax.php, NO, inc.php
view_staff_category.php, YES, add_staff_category.php|delete_staff_category.php|edit_staff_category.php|footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
view_staff_department.php, YES, add_staff_department.php|delete_staff_department.php|edit_staff_department.php|footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
view_staff_employee.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
view_staff.php, YES, add_new_staff_detail.php|delete_staff.php|edit_staf_employee_detail.php|footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_employee.php
view_staff_position.php, YES, add_staff_position.php|delete_staff_position.php|edit_staff_position.php|footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
view_staff_qualification.php, YES, add_staff_qualification.php|delete_staff_qualification.php|edit_staff_qualification.php|footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
view_student_detail.php, YES, footer.php|header.php|sidebar.php
